Country,2000-2005,2006-2010,2011-2015,2016-2019
Timor-Leste,2134,2679.8,3066.2,2301.75
Togo,55363.66667,112236.6,58080.2,37806
Tokelau,268.3333333,300,0,0
Tonga,11741.16667,25403.4,23244,11757.75
Trinidad and Tobago,318385.8333,308827,285945.2,298104.5
Tunisia,1130797.333,1269800.2,1046338,1210873.75
Turkey,18868294,17454129.8,13328829,11388091.75
Turkmenistan,381370,474794.8,599280,673500
Turks & Caicos Is.,3663.666667,3700,3950,0
Tuvalu,718.3333333,1080,1570,2000
Uganda,65479.83333,200611.2,341180.4,197271.75
Ukraine,11139659.33,12889501.4,11253627.2,6473764.25
United Arab Emirates,1121172.167,1470166,2048135.8,2327660
United Kingdom,34623305.83,33683520.6,33256635.4,32044099.5
United States,184853145.8,158233210,133698000,113911750
Uruguay,961238,965442.2,1042718.2,1142362.25
Uzbekistan,1710017,1852467,2246419,3467704.75
Vanuatu,6712.666667,8210,5348.4,4257.25
Vatican,0,0,0,0
Venezuela,3005967.667,5955842.8,7668712.6,6121933.5
Viet Nam,4809736.4,13260513.8,8101308.6,4484437.5
Virgin Islands (US),69888.5,74180,76033.33333,0
Wallis and Futuna,1742.666667,2701.6,3142.666667,0
Yemen,617401.6667,998918.2,1126565.4,1177914
Zambia,88578.66667,96909,102923.2,100003.5
Zimbabwe,289485.5,358535.4,324997.8,276113.25
