"Indicator","Country","2000_value","2000_notes","2000_source","2001_value","2001_notes","2001_source","2002_value","2002_notes","2002_source","2003_value","2003_notes","2003_source","2004_value","2004_notes","2004_source","2005_value","2005_notes","2005_source","2006_value","2006_notes","2006_source","2007_value","2007_notes","2007_source","2008_value","2008_notes","2008_source","2009_value","2009_notes","2009_source","2010_value","2010_notes","2010_source","2011_value","2011_notes","2011_source","2012_value","2012_notes","2012_source","2013_value","2013_notes","2013_source","2014_value","2014_notes","2014_source","2015_value","2015_notes","2015_source","2016_value","2016_notes","2016_source","2017_value","2017_notes","2017_source","2018_value","2018_notes","2018_source","2019_value","2019_notes","2019_source"
"Mobile-cellular subscriptions per 100 inhabitants","Botswana","13.52","","","19.84","","","19.49","","","25.66","","","29.61","","","31.34","","","44.83","","","61.41","","","77.56","","","95.94","","","118.94","","","143.90","","","151.10","","","157.42","","","163.29","","","163.88","","","152.27","","","146.96","","","150.01","","","162.64","",""
"Mobile-cellular subscriptions per 100 inhabitants","Brazil","13.27","","","16.22","","","19.43","","","25.51","","","35.65","","","46.32","","","53.10","","","63.63","","","78.45","","","87.36","","","100.62","","","118.65","","","124.61","","","134.85","","","138.45","","","126.09","","","118.39","","","106.46","","","99.97","","","95.72","",""
"Mobile-cellular subscriptions per 100 inhabitants","British Virgin Islands","","","","","","","37.86","","","","","","","","","","","","","","","82.64","","","88.13","","","173.94","","","170.99","","","164.54","","","169.99","","","185.14","","","188.91","","","196.20","","","135.20","","","148.91","","","134.06","","","","",""
"Mobile-cellular subscriptions per 100 inhabitants","Brunei Darussalam","28.51","","","42.06","","","44.31","","","50.20","","","56.33","","","63.79","","","81.40","","","97.65","","","105.12","","","107.55","","","111.95","","","112.57","","","117.73","","","115.92","","","110.32","","","111.68","","","124.69","","","128.33","","","131.93","","","132.66","",""
"Mobile-cellular subscriptions per 100 inhabitants","Bulgaria","9.23","","","19.54","","","33.02","","","44.86","","","61.07","","","81.24","","","108.16","","","130.63","","","138.61","","","139.89","","","137.37","","","141.96","","","147.00","","","143.85","","","130.93","","","127.71","","","125.47","","","120.14","","","118.94","","","116.21","",""
"Mobile-cellular subscriptions per 100 inhabitants","Burkina Faso","0.22","","","0.64","","","0.90","","","1.88","","","3.04","","","4.72","","","7.35","","","13.04","","","20.59","","","25.25","","","36.58","","","47.77","","","60.20","","","65.84","","","71.05","","","79.77","","","82.61","","","93.50","","","97.91","","","100.21","",""
"Mobile-cellular subscriptions per 100 inhabitants","Burundi","0.26","","","0.51","","","0.78","","","0.93","","","1.41","","","2.08","","","2.63","","ITU estimate.","3.43","","","5.91","","","10.96","","","19.34","","ITU estimate.","21.37","","ITU estimate.","24.30","","","26.59","","","32.44","","","49.19","","","51.09","","","54.68","","","56.53","","","56.65","",""
"Mobile-cellular subscriptions per 100 inhabitants","Cabo Verde","4.61","","","7.23","","","9.70","","","11.86","","","14.41","","","17.65","","","23.20","","","32.04","","","57.75","","","59.72","","","75.48","","","79.47","","","84.18","","","97.60","","","118.35","","","116.53","","","113.33","","","113.91","","","112.24","","","108.32","",""
"Mobile-cellular subscriptions per 100 inhabitants","Cambodia","1.07","","","1.80","","","3.01","","","3.88","","","6.59","","","8.00","","","12.77","","","18.88","","","30.52","","","44.47","","","56.95","","","94.61","","","129.26","","","134.86","","","133.90","","","134.33","","","126.32","","","116.01","","","119.49","","","129.92","",""
"Mobile-cellular subscriptions per 100 inhabitants","Cameroon","0.67","","","2.62","","","4.29","","","6.41","","","8.87","","","12.70","","","17.21","","","24.22","","ITU estimate.","32.00","","","40.45","","","42.46","","","50.16","","","61.01","","","70.95","","","75.12","","","77.95","","","78.23","","","81.96","","","73.19","","","82.70","",""
"Mobile-cellular subscriptions per 100 inhabitants","Canada","28.53","","","34.49","","","38.08","","","42.21","","","47.21","","","52.91","","","57.62","","","61.58","","","66.27","","","70.56","","","75.63","","","77.71","","","79.38","","","80.35","","","80.72","","","82.62","","","84.52","","","86.28","","","89.58","","","91.86","",""
